,Fbest,T_abest,Alpha_best,Photonindex_plateau,Beta,Gamma,log10PeakFlux,log10Epeak,log10T90,log10Fluence,log10NH,log10z
168,-10.8475,3.351,1.45111,2.357,1.357,2.00443,-7.23210238398191,-inf,0.9030899869919435,-6.6595558851598815,22.499687082618404,0.5062343596121259
170,-9.95369,3.92091,1.35061,1.86,0.86,1.92748,-6.134896025358872,-inf,1.8536982117761744,-5.097453220686009,22.56702636615906,0.31973049433022455
171,-9.16118,3.02525,1.37377,1.764,0.764,1.82568,-5.649751981665837,-inf,1.320146286111054,-4.707743928643524,21.893206753059847,-0.08618614761628333
172,-8.91732,3.24559,1.3304,1.724,0.724,1.92439,-5.583359492661719,-inf,1.9444826721501687,-4.6777807052660805,20.719331286983728,0.35602585719312274
173,-8.6099,2.49217,1.19079,1.73,0.73,1.84772,-5.419075024324381,-inf,1.1699681739968923,-4.657577319177793,22.01703333929878,0.24501887073775308
174,-8.82118,3.19694,1.24471,1.679,0.679,1.70996,-5.767003889607846,-inf,1.6117233080073419,-4.769551078621726,21.790285164033243,0.31386722036915343
175,-9.64218,3.15765,1.33346,2.27,1.27,1.96079,-6.115771230367396,-inf,2.042181594515766,-4.552841968657781,22.33645973384853,0.367355921026019
176,-9.93519,3.99907,1.74508,1.9235,0.9235,2.00612,-6.235077015350112,-inf,2.112906490253314,-5.107905397309519,21.650307523131936,-0.09151498112135022
179,-11.28019875,3.915217718,1.432675325,1.77,0.77,1.8158,-6.906578314837765,-inf,1.0128372247051722,-6.229147988357856,22.751279103983343,0.9138138523837167
180,-10.9294,3.19881,1.4371,1.74,0.74,2.00127,-6.987162775294828,-inf,0.7469454089151315,-6.508638306165727,21.03342375548695,0.9731278535996987
182,-11.54404073,4.171185481,1.243849338,1.95,0.95,2.06008,-7.047691990337875,-inf,2.6869935662646784,-5.236572006437063,21.103803720955955,0.4556061125818669
183,-11.8633,4.22335,0.991734,2.03,1.03,2.25837,-7.517126416391246,-inf,1.9469432706978254,-5.769551078621726,21.701567985055927,0.21205436480116296
184,-9.0572,4.13326,2.77382,1.2529,0.2529,1.81212,-7.11975822410452,-inf,3.146128035678238,-4.443697499232712,21.139879086401237,-0.16941133131485564
186,-11.15470519,4.132084541,1.874408221,1.98,0.95,1.98053,-6.665546248849069,-inf,1.505149978319906,-5.966576244513051,20.926856708949693,0.15836249209524964
187,-11.04834786,4.270583544,1.462094791,1.973,0.973,2.01835,-6.777283528852417,-inf,1.7701152947871015,-5.603800652904264,22.230448921378272,0.6304278750250238
