Index,X.name,z,Flux1.100m,Energy_Flux100,Significance,Variability_Index,Frac_Variability,Highest_Energy,nu,nufnu,PL_Index,Pivot_Energy,LP_Index,LP_beta,Gaia_G_Magnitude,Label
1030,4FGL J0754.7+4823,0.37671,1.59E-09,1.32E-11,45.07843,92.81249,0.36481652,47.6299,1.91E+13,2.29E-11,2.0981896,1063.3436,1.9825253,0.08607822,16.7013,bll
1031,4FGL J0756.3-6431,NA,1.98E-10,2.32E-12,8.091925,8.913983,0,40.5606,NA,NA,2.0135968,3907.7468,2.0042496,0.008413681,19.4134,bll
1032,4FGL J0757.1+0956,0.266,1.60E-09,1.99E-11,40.25747,29.723373,0.18581253,237.103,7.76E+12,9.87E-12,2.15051,1423.0653,2.1238842,0.03869057,16.8181,bll
1033,4FGL J0758.1+1134,0.568712,2.31E-10,3.04E-12,8.262653,15.704926,0.35551292,NA,NA,NA,2.266058,1609.4791,2.2473032,0.042001788,18.1001,fsrq
1034,4FGL J0758.7+3746,0.042836,1.39E-10,1.44E-12,5.6106277,6.3644457,0,39.7014,1.86E+14,8.62E-13,2.1988335,1978.8269,2.1135125,0.08004935,17.4257,rdg
1035,4FGL J0758.9+2703,0.099,4.78E-10,5.66E-12,17.544731,11.408124,0.15108937,27.9389,5.75E+13,2.81E-12,2.1546645,1526.5121,2.1029701,0.052126043,17.6652,bll
1036,4FGL J0759.6+1321,0.3864,2.51E-10,2.77E-12,12.386809,19.30318,0.49657992,41.8833,NA,NA,1.7958825,5696.2534,1.6624175,0.1058291,NA,bll
1037,4FGL J0800.3+5611,NA,1.68E-10,2.32E-12,8.675711,11.068185,0.23603117,46.2374,NA,NA,2.004039,3146.5295,1.8932853,0.1334532,18.442,bcu
1038,4FGL J0800.9+4401,1.072,3.18E-10,3.58E-12,13.2217455,41.981865,0.72105134,10.0057,1.84E+13,6.84E-13,2.1723056,1600.1025,2.0452783,0.1349935,19.6535,bll
1039,4FGL J0801.1+1335,NA,1.17E-10,3.58E-12,4.2994223,7.674034,0,NA,4.12E+14,3.61E-13,2.2040927,2488.8923,2.1796367,0.05898696,NA,bll
1040,4FGL J0801.1+6444,0.2,1.94E-10,2.35E-12,9.785277,31.87778,0.8005522,122.315,NA,NA,2.0616407,2934.3296,2.0459158,0.014830338,18.7453,bll
1041,4FGL J0801.3+6631,NA,1.39E-10,2.35E-12,6.8862033,13.228698,0.14982833,NA,NA,NA,2.5591009,860.69885,2.375812,0.19985674,NA,bcu
1042,4FGL J0802.0+1006,0.84159,2.77E-10,3.15E-12,10.951482,5.682617,0,NA,3.63E+15,1.97E-12,2.0167358,2711.9873,1.9563322,0.10962161,NA,bll
1043,4FGL J0802.3-0942,NA,5.40E-10,6.38E-12,17.738602,14.901419,0.23531418,68.9395,3.16E+15,1.59E-12,1.9225265,3279.0127,1.8706411,0.044608634,NA,bcu
1044,4FGL J0803.0+2439,NA,1.08E-10,6.38E-12,5.008338,13.78913,0.61200583,55.0026,7.08E+15,6.92E-13,1.9690284,4628.103,2.0791793,-0.08730078,NA,bll
1045,4FGL J0803.2-0337,0.365,9.83E-10,1.10E-11,28.178997,25.561756,0.26104373,109.863,5.13E+15,9.82E-13,2.0060735,1920.6237,1.9901721,0.016202103,NA,fsrq
1046,4FGL J0803.5+2046,NA,1.96E-10,2.30E-12,6.6940846,28.156849,0.7083472,NA,9.79E+12,2.82E-13,2.5076964,692.77905,1.9991026,0.77021915,NA,bcu
1047,4FGL J0804.5+0414,NA,3.11E-10,4.85E-12,11.373312,27.850409,0.5297855,NA,NA,NA,2.4914067,839.0058,2.4513824,0.094916195,18.9795,bcu
1048,4FGL J0804.9-0624,0.43,4.28E-10,5.24E-12,14.024079,10.355387,0.08744026,93.302,NA,NA,1.896783,4016.2856,1.770265,0.11422698,18.0896,bcu
